name,center_j1,center_i1,angle1,center_3d1,center_j2,center_i2,angle2,center_3d2,center_j3,center_i3,angle3,center_3d3,center_j4,center_i4,angle4,center_3d4,center_j5,center_i5,angle5,center_3d5
A62e6,197,185,-32.3580017089844,"0.011394656449556352,1.0311467121090048,0.015340341223265178",125,134,-65.625244140625,"-0.0036307656764984135,1.0459687324030085,-0.005615614955060853",137,105,-50.6513710021973,"-0.015110284835100173,1.0296379223107235,-0.00432814945356663",120,192,-35.8419876098633,"0.013584956079721452,1.0314945096340535,-0.009664179585506829",187,74,13.4746284484863,"-0.018162231246630352,1.0441425089930196,0.008897323965561942"
A62e9,193,189,-19.3557319641113,"0.0124122104793787,1.0322437022826323,0.013725573091639506",155,205,-6.23748397827148,"0.017460672929883,1.0323780785679628,0.0016278077278186786",141,131,-40.732780456543,"-0.005922789921363195,1.0332447182571367,-0.002763978403880293",140,175,-29.0424308776855,"0.00810601438085238,1.0313680473182216,-0.0032031982696851223",55,150,-58.2914657592773,"0.0,0.9670930003164719,-0.07160569435064157"
B02e4,202,166,-25.8884105682373,"0.00490474263827006,1.0339981908206206,0.015982923843691092",86,145,-62.9585571289063,"-0.0015294916927814483,1.0341397995208061,-0.019534834362718197",160,169,50.158821105957,"0.005839096208413442,1.0338981091682298,0.003115583563378084",117,163,2.70329284667969,"0.003984247818589211,1.0340406306308474,-0.010071317049442592",146,212,-59.2035636901855,"0.022378372351328533,1.025860666141654,-0.001411441281494851"
B02e5,86,145,-85.2592849731445,"-0.001529335603117943,1.0341444797096515,-0.019532830563218834",181,139,21.6330375671387,"-0.0033664063860972724,1.0340826779412706,0.009529756065235628",31,126,-1.16114342212677,"-0.018131604194641115,0.9667899825307683,-0.08994412077561695",138,249,6.63174867630005,"0.02621408298611641,1.0402857379622534,-0.0031271099634127336",185,37,-5.99392366409302,"-0.08526011442144711,0.9667899776182348,0.02636650833582516"
B02e6,181,139,24.9773635864258,"-0.00336619275311629,1.0340855918685965,0.009529157650585806",85,146,-82.9424209594727,"-0.0012235799431800844,1.0341406845346113,-0.019840513906290484",116,161,9.58042526245117,"0.0033691814293464024,1.0340697126622231,-0.010371254594894559",115,123,0.055376384407282,"-0.008377417847514152,1.0334724432159745,-0.010817783751775379",184,37,-19.7274417877197,"-0.08526082163055737,0.9667899817214295,0.025612206248505007"
B02e9,210,131,5.55000066757202,"-0.005820106267929078,1.0340288970671814,0.01842183352439841",176,138,12.7324209213257,"-0.003671513795852661,1.0340962123585584,0.007997573064202268",129,141,-27.5962924957275,"-0.0027528219670057297,1.0341277414028824,-0.006380596663337576",184,37,-30.1331443786621,"-0.08526080479224522,0.9667900040794869,0.025612201210053767",113,264,3.9758780002594,"0.08606624752283096,0.966789985315722,-0.027975316588918605"
B12e4,158,150,3.12696671485901,"0.0,1.0332159532339364,0.0025365089334502197",77,162,9.09815311431885,"0.004307607412338257,1.0261877477048023,-0.026171897732557656",246,173,21.9732093811035,"0.017319248616695402,0.9669581478465568,0.07224779234850967",217,189,3.23056530952454,"0.008516382947564126,1.0472264609048467,0.014689753732558906",272,62,5.44513559341431,"-0.030525917212168376,1.0279143698468467,0.04235494786443308"
B12e5,159,149,2.9045615196228,"-0.0003110906481742859,1.0333329820818236,0.0028414842424000887",216,189,7.17713499069214,"0.008617584556341172,1.0468372831302037,0.014642162690987582",250,174,16.7873210906982,"0.018071658611297607,0.9669581410164537,0.07525733455300163",272,62,4.48973560333252,"-0.030544907053311667,1.027881967916037,0.042381234207999254",74,138,0.244669929146767,"-0.004332771599292755,1.0258747409533522,-0.02740856500164654"
B12e6,158,148,2.09177589416504,"-0.0006241853535175324,1.0331830567531384,0.002538222177631583",194,174,-10.7856512069702,"0.007373378276824952,1.0338995670907467,0.013560245255806175",241,165,-3.90826344490051,"0.003277792036533356,1.0471972913916772,0.019944283931347995",272,63,2.56549119949341,"-0.030321551635861393,1.0276683963449316,0.04255449597215183",235,125,-9.175612449646,"-0.00793967085580031,1.0323283111369745,0.027035312537484736"
B12e9,133,130,0.645020306110382,"-0.005027689039707184,1.0422977462482383,-0.004220666897121037",170,108,2.8237476348877,"-0.013779255002737047,1.0307802541110835,0.00660003046481056",239,168,1.49880516529083,"0.0038995228707790373,1.047479942986287,0.019340339275784692",214,127,-3.94110822677612,"-0.007073330879211425,1.033845057025126,0.019724633811149795",238,143,-1.28026342391968,"-0.005271427184343338,0.9669581398896645,0.06622812021024403"
B22e4,192,174,-66.7377166748047,"0.007810435891151429,1.031167771114778,0.013707233266517467",135,134,-2.03225255012512,"-0.004968133370081584,1.0334296506844924,-0.004615841663687253",256,189,3.49737095832825,"0.029353909939527512,0.9670007488881466,0.07974123568429974",0,0,,"-0.11314083635807037,0.9670007200835135,-0.1131821745501328",0,0,,"-0.11314083635807037,0.9670007200835135,-0.1131821745501328"
B22e5,193,171,-59.2414169311523,"0.00682830423116684,1.0312090018728042,0.014020788049023002",155,141,9.21719932556152,"-0.0027628292888402938,1.0339510051525491,0.0015773451014207758",127,145,-24.468391418457,"-0.0015422988682985306,1.0337399809251087,-0.00705240543025314",256,189,2.03741312026978,"0.029353909939527512,0.9670007488881466,0.07974123568429974",222,223,-2.53865766525269,"0.05496006429195404,0.9670007325720158,0.05416598033190377"
B22e6,191,173,-52.6896057128906,"0.0074716050177812575,1.0312555731980002,0.013358028009588168",129,144,13.8146104812622,"-0.001850263625383377,1.0337515830157848,-0.006433738335043278",138,120,21.4119129180908,"-0.006608749926090241,1.0469596232597662,-0.0025848025568785613",140,228,-0.239831700921059,"0.05876457452774048,0.967000750699927,-0.007575174785159116",224,222,-2.33599472045898,"0.05420628547668457,0.9670007290832036,0.055670810442702355"
B22e9,190,171,-30.4805545806885,"0.006785947307944298,1.0315128712780677,0.012965015166925133",184,134,-76.0762557983398,"-0.005118931929270426,1.031996496119069,0.010917734514460611",165,161,-25.1356334686279,"0.003386221528053284,1.0338185586244257,0.004659851621890524",128,113,4.58163785934448,"-0.012013192549347879,1.031306877408232,-0.007103851405590663",278,102,2.19000339508057,"-0.03612127542495728,0.9670007405860708,0.09628222794850266"
B32e4,137,61,-32.3078842163086,"-0.06700920909643174,0.9670754959732786,-0.009829025320507294",158,112,-33.3769035339355,"-0.011858917723099391,1.0331854410960275,0.0025380980013828777",132,151,-46.730640411377,"0.000313805416226387,1.0329363275671952,-0.005607331555314865",218,182,-62.5093421936035,"0.007424947420756022,1.0451759063587025,0.01583449554722666",61,131,-1.37056791782379,"-0.01431440517306328,0.9670754830866012,-0.06709289582646781"
B32e5,138,61,-31.4147090911865,"-0.06700865209102631,0.9670754935125001,-0.009076037166892561",157,113,-34.5535163879395,"-0.011510985270142556,1.0333312003856698,0.002219419661780778",116,144,-77.2800598144531,"-0.0013947968184947967,1.0451400292699893,-0.007847429859056424",158,225,-31.1336326599121,"0.056458551436662674,0.9670754997401335,0.005981094626248844",72,147,1.86796224117279,"-0.0022599619626998903,0.9670754810044789,-0.05880021293803929"
B32e6,141,65,-31.2627067565918,"-0.06399542714158694,0.967075493674058,-0.006817147351494881",153,112,-33.6964263916016,"-0.011747528066237769,1.0336270982389395,0.0009694710053524331",116,147,21.12868309021,"-0.0007582515478134155,1.042098236784309,-0.008540901544523907",154,223,-39.1737022399902,"0.0549548247953256,0.9670754935220438,0.0029700700367635315",76,159,2.78227663040161,"0.006779657900333404,0.9670755118561587,-0.05578505334161493"
B32e9,153,172,11.4339952468872,"0.006791489720344543,1.0336933094273484,0.0009682295765598395",127,199,5.94260358810425,"0.015902098044753073,1.0313295189619844,-0.007425094105681596",147,226,-28.2068996429443,"0.05721657554308574,0.9670755018711272,-0.0022997064145177967",144,45,-24.3616828918457,"-0.0790511928498745,0.9670755014270065,-0.0045583701794753234",84,225,20.2853202819824,"0.028124283999204636,1.0237824551730925,-0.024719661361271773"
B42e4,133,98,19.6573810577393,"-0.016239671111106874,1.0331615104809035,-0.005267675565311212",118,162,81.7142181396484,"0.0037650254368782046,1.0329498114896254,-0.009998888498983267",172,193,0.87451034784317,"0.013555392647782962,1.0327051569981263,0.00697620405381528",80,191,28.7417106628418,"0.01348269832630952,1.0307019100537314,-0.02298088181034537",81,149,79.4204788208008,"-0.0003164658198753993,1.0325575018573236,-0.021795461916501016"
B42e5,132,99,26.2473583221436,"-0.01594097301363945,1.0331218972717262,-0.005584827853214906",118,162,-0.179263964295387,"0.003765752911567688,1.0329407204879655,-0.010000839796762329",232,149,4.5519061088562,"-0.00038187344868977866,1.022679928020088,0.03134199734967843",208,203,16.9321823120117,"0.01735335536301136,1.0308630730269883,0.01902905813608577",93,102,9.81655502319336,"-0.016027560234069826,1.0299377468718014,-0.01899532060691126"
B42e6,132,100,27.7285099029541,"-0.01565168797969818,1.0330520586101186,-0.005593297061267218",120,163,-34.7071533203125,"0.0040640025834242505,1.0331194648181379,-0.009337075579873453",232,150,4.30108642578125,"0.0,1.0226584407905404,0.03135370883996176",207,203,14.567512512207,"0.01741395508249601,1.030691892330043,0.018766595437693247",103,193,34.0051383972168,"0.013507778520385426,1.0328983771682319,-0.014723204738331021"
B42e9,133,101,13.7459592819214,"-0.015361906066536903,1.0329804983355546,-0.005288419478893815",235,154,4.71606874465942,"0.0010395914316177369,1.0409877803265817,0.022142570017933582",208,203,6.51764488220215,"0.017414718518654504,1.0306893199130793,0.019095993130295225",275,151,34.6806221008301,"0.0007518012324968975,0.9671124766351682,0.09393411869781426",239,189,14.9991445541382,"0.012373753190040589,1.0323734244914164,0.028278028329307273"
B52e4,85,182,1.44030678272247,"0.008506827354431153,1.040145919927274,-0.01722932430244557",153,138,-0.693800926208496,"-0.0031453025341033935,1.0406828087979425,0.00083717973478842",147,184,-1.30795705318451,"0.009042059828837712,1.040109630688986,-0.0007476924271436105",84,149,0.75941789150238,"-0.00027126689751942953,1.039332419305891,-0.017854463841837236",91,120,3.56015872955322,"-0.008126891404390336,1.0393855959609635,-0.015933667050570553"
B52e5,152,138,0.488218098878861,"-0.0031478852033615112,1.0406508525544218,0.0005754614837665088",81,181,4.26005029678345,"0.00757360465824604,1.0433746688531342,-0.016803173082641502",77,152,-27.234489440918,"0.0005510833362738292,1.0386939678646279,-0.020066190184818068",147,184,-1.86312246322632,"0.009042666107416152,1.0401069559994933,-0.0007477492657144538",91,122,4.4482593536377,"-0.007572309076786041,1.0394540777602808,-0.015906631981735635"
B52e6,152,138,2.51972270011902,"-0.0031481659412384033,1.0406473432751928,0.0005755038868528931",121,140,26.6303081512451,"-0.002379378428061803,1.0443180193850712,-0.006844805383575607",89,169,44.6934089660645,"0.004189444457491239,1.0469423199168035,-0.01339165440677244",147,185,-0.22964183986187,"0.009301319221655528,1.040138273707803,-0.0007470837477965145",45,196,-20.6863327026367,"0.03467775086561838,0.9670194526867463,-0.0791970236799295"
B52e9,123,153,52.2549896240234,"0.0008411397784948349,1.0379525493888555,-0.007522823309522493",136,188,-7.75327491760254,"0.010066987226406735,1.0402666023405613,-0.003658559727900503",233,179,7.75219774246216,"0.02182783101995786,0.9670194653142957,0.06243158130594806",194,196,-9.28370571136475,"0.011840851306915283,1.041374443660029,0.011377758630698134",137,38,-1.41236364841461,"-0.08436804691950481,0.9670194513710325,-0.009833953108926258"
B62e4,121,171,-57.7176170349121,"0.006615154221653939,1.0327603969461805,-0.00909426969542014",187,69,-13.9783773422241,"-0.024495117589831354,1.0346247628027967,0.01123241752951997",137,102,10.8389940261841,"-0.015705394744873046,1.0309260392907278,-0.004214890233553597",186,121,27.8956336975098,"-0.01094959390660127,1.0233472655221874,0.01362179410313874",208,144,42.9094161987305,"-0.0021725474298000336,1.0256601476759049,0.021033383528662596"
B62e5,121,172,-62.6943244934082,"0.00696744625767072,1.0325062447681161,-0.009143735427438628",138,102,7.84385204315186,"-0.015517810583114624,1.031511771727914,-0.0038400660094712654",182,62,-22.5751152038574,"-0.025718222260475158,1.036150507944973,0.00939727629701391",196,216,47.1535491943359,"0.021479726433753968,1.0311638072922122,0.015009684951614304",206,153,-39.416130065918,"0.0010697951912879945,1.026485362943348,0.020002632650484724"
B62e6,122,171,-55.6523971557617,"0.00662030965089798,1.032723187313827,-0.008786182526508177",185,62,-22.0100536346436,"-0.025831569035847983,1.0359561510671078,0.010318872758027602",139,102,9.24819564819336,"-0.015436946153640748,1.0317640456008381,-0.0034979312458386833",174,217,29.5419731140137,"0.017051182960470517,1.0418181474371642,0.00616016389883703",173,186,19.2068710327148,"0.012167743742465972,1.0292914326572007,0.007810456672465876"
B62e9,190,67,3.84237217903137,"-0.025428739686806996,1.0340292063760579,0.01229736044271807",173,218,19.2908954620361,"0.017304828763008116,1.041820339734544,0.005905383851241321",141,101,15.1221694946289,"-0.015652018090089162,1.0320893325209752,-0.002834751087372252",201,158,-25.7954902648926,"0.002932645877202352,1.0249896058342922,0.01872686918155367",206,190,-30.2834148406982,"0.009656626979509988,1.0437708207268956,0.013574001914299758"
C02e4,126,194,-1.32434153556824,"0.013180343012015025,1.035076076776766,-0.007145438598331512",82,215,-58.5271911621094,"0.019450630868474643,1.0351394418674749,-0.020304444043201253",183,193,-17.2583847045898,"0.012872888247172039,1.035082304617481,0.009923053942742129",89,146,19.0451850891113,"-0.0011984902620315553,1.0350795391043306,-0.018233141492930083",194,108,16.9502487182617,"-0.01257630690932274,1.0350682269479918,0.013219024302644248"
C02e5,81,215,-45.472770690918,"0.01944238506257534,1.0351588337441369,-0.020594907266958312",115,195,0.319774031639099,"0.013483668118715287,1.0350676264505574,-0.010443471177988323",81,183,26.9804077148437,"0.008520903885364533,1.0412909621443562,-0.017764835756361848",90,146,18.7711620330811,"-0.0011985268195470176,1.0350777943563052,-0.017934069235526144",194,108,18.8000240325928,"-0.01257633611559868,1.0350681226016982,0.013219054769286536"
C02e6,81,179,32.5903015136719,"0.006729465027650197,1.0452125064877833,-0.015954982765762942",81,217,-21.8828620910645,"0.02003151540954908,1.03517918817989,-0.020585513382000355",83,146,9.55246925354004,"-0.0011974441011746726,1.0351209953683622,-0.020013303273483593",193,108,18.9275550842285,"-0.012575810402631761,1.0350703751145616,0.012919082544531661",122,108,3.78460597991943,"-0.012580455243587495,1.0350803641302468,-0.008343126338326907"
C02e9,172,111,-7.01104736328125,"-0.01166210688650608,1.0351375971457473,0.006622551550262216",79,106,-8.10714149475098,"-0.013180593252182007,1.0350928229208078,-0.021224835314587416",81,139,7.31583547592163,"-0.0032938610514005027,1.0351096174854537,-0.02061762132681918",48,148,3.23147702217102,"-0.000624747226635615,1.0331838648074423,-0.03182065384707826",124,187,-2.40515160560608,"0.011067099049687387,1.0351431809993303,-0.007732957587656953"
C12e4,91,153,-48.0824317932129,"0.0008623156696557999,1.0369054914066989,-0.016912756356208154",110,114,-66.166389465332,"-0.011034557819366455,1.034038080048415,-0.012218081880643829",199,180,-78.8120193481445,"0.009030068665742874,1.0348312982061,0.01479266286870508",172,166,42.8071136474609,"0.004575503269831339,1.0370968688627618,0.006337693010766187",151,113,27.0655117034912,"-0.009480857774615287,1.0415638425018947,0.0003081943745838845"
C12e5,93,151,-47.2351417541504,"0.0002871774882078171,1.0369439144314392,-0.016322949854220177",110,113,-59.8647117614746,"-0.011380634009838105,1.033877752435087,-0.01226105064318373",198,179,-74.8349304199219,"0.008702437579631805,1.0349694646039318,0.014447757765327715",166,170,44.5897827148437,"0.005709638198216756,1.0371720799793858,0.004614179229589787",151,113,26.6551933288574,"-0.009586238712072372,1.0411366192560505,0.0003105084815090932"
C12e6,102,143,-46.5518913269043,"-0.0020128216097752252,1.0368854374322722,-0.013756109424962573",115,184,-44.0497436523438,"0.009729789992173513,1.0370870520272828,-0.009969609386560266",110,113,-44.7644538879395,"-0.011393407707413037,1.0338259844765052,-0.012274924766756783",150,114,34.3496894836426,"-0.009259526431560515,1.0414187126790095,5.1773361267820964e-05",166,170,43.1461410522461,"0.0057142769296964005,1.0371372848815208,0.004617846723848059"
C12e9,194,196,-29.3750343322754,"0.011822177271048227,1.0414353595356856,0.011359972640167722",104,143,-43.9276313781738,"-0.002013255183895429,1.0368754312630568,-0.013183878794801993",168,171,25.0736904144287,"0.006018778756260872,1.0370023507141743,0.005205210194888426",0,0,,"-0.09813131392002106,0.9819914690131131,-0.09815390186420231",0,0,,"-0.09813131392002106,0.9819914690131131,-0.09815390186420231"
